rank,occupation,age_group,housing_type,pain_score,trust_score,predicted_prob_pct,actual_prob_pct,q6_service_intent
1,대학생,20대,1인 가구,5.0,5.0,100.0,100.0,5.0
2,대학생,20대,1인 가구,5.0,5.0,100.0,100.0,5.0
3,대학생,20대,1인 가구,5.0,5.0,100.0,100.0,5.0
4,대학생,20대,1인 가구,5.0,5.0,99.5,100.0,5.0
5,취업 준비 중,20대,1인 가구,5.0,2.0,99.2,100.0,5.0
