feature,importance
pain_score,0.1915781612805177
trust_score,0.16627275469859168
housing_type_1인 가구,0.0871674841375871
is_single_household,0.08322909692649022
move_frequency,0.076691436296099
storage_need_score,0.07394381139116102
has_rental_experience,0.05458797010848301
occupation_직장인,0.0343399986076082
gender_여자,0.030375393297496535
gender_남자,0.027458128334222762
pain_cost,0.02581136494790506
housing_type_4인 가구 이상,0.02462749964221713
occupation_프리랜서,0.01976556822300483
pain_transport,0.01971531027388698
pain_space,0.019359830502999394
occupation_대학생,0.0122098494576816
consignment_positive,0.010378412073877461
age_group_20대,0.009000343411943196
occupation_취업 준비 중,0.008791993332320466
age_group_30대,0.006771418180603432
age_group_40대,0.005261362517744083
occupation_자영업자,0.004588619287932749
housing_type_2인 가구,0.004433786881678666
housing_type_3인 가구,0.002760196127942555
age_group_50대이상,0.0008802100600050445
occupation_무직,0.0
age_group_10대,0.0
